,Title,Brand,Available,OriginalPrice,SalePrice,Discount,Sku,Link,Category
171,TAILORED OVERSIZED BLAZER,lama-retail,True,"Rs.12,950.00","Rs.5,180.00",Save 60%,LEKWWT0007-MED-OLV,https://lamaretail.com/collections/last-chance/products/tailored-oversized-blazer-lekwwt0007-olive,CLEARANCE
172,CLASSIC LEATHER BOAT SHOES,lama-retail,True,"Rs.8,450.00","Rs.5,915.00",Save 30%,MFS24BS003-042-NVY,https://lamaretail.com/collections/last-chance/products/classic-leather-boat-shoes-mfs24bs003-navy,CLEARANCE
173,CLASSIC LEATHER MOCCASINS,lama-retail,True,"Rs.6,950.00","Rs.4,865.00",Save 30%,SHFMWS0023-043-HNY,https://lamaretail.com/collections/last-chance/products/classic-leather-moccasins-shfmws0023-honey,CLEARANCE
174,PARACHUTE CARGO PANTS,lama-retail,True,"Rs.5,450.00","Rs.1,635.00",Save 70%,XLFWWB0001-SML-PNK,https://lamaretail.com/collections/last-chance/products/parachute-cargo-pants-xlfwwb0001-pink,CLEARANCE
175,RESORT FLARED PANTS,lama-retail,True,"Rs.6,450.00","Rs.1,935.00",Save 70%,WAS24BT017-XSM-GRN,https://lamaretail.com/collections/last-chance/products/resort-flared-pants-was24bt017-green,CLEARANCE
176,COMFY DAY SLIDES,lama-retail,True,"Rs.4,450.00","Rs.3,115.00",Save 30%,WFS24SL060-038-WHT,https://lamaretail.com/collections/last-chance/products/comfy-day-slides-wfs24sl060-white,CLEARANCE
177,TASSEL SHORTS,lama-retail,True,"Rs.2,950.00",Rs.885.00,Save 70%,WAS24BT014-XSM-CRM,https://lamaretail.com/collections/last-chance/products/tassel-shorts-was24bt014-cream,CLEARANCE
178,CARGO PANTS,lama-retail,True,"Rs.8,450.00","Rs.2,535.00",Save 70%,HSAMWB0002-MED-NVY,https://lamaretail.com/collections/last-chance/products/cargo-pants-hsamwb0002-navy,CLEARANCE
179,DOUBLE STRAP SANDALS,lama-retail,True,"Rs.8,950.00","Rs.6,265.00",Save 30%,MFS24SD001-042-BLK,https://lamaretail.com/collections/last-chance/products/double-strap-sandals-mfs24sd001-black,CLEARANCE
180,DOUBLE STRAP SANDALS,lama-retail,True,"Rs.8,950.00","Rs.6,265.00",Save 30%,MFS24SD001-040-BRN,https://lamaretail.com/collections/last-chance/products/double-strap-sandals-mfs24sd001-brown,CLEARANCE
